date,days,europe_us_price,europe_us_ndtr_l1,europe_us_gdtr_l1,europe_us_ndtr_l2,europe_us_gdtr_l2
1997-06-01,365,977.295,1660.19901617787,1856.3352831644,3035.75051,3795.33384
1997-06-02,365,976.742,1659.33817180988,1855.39433116851,3032.04299,3790.78696
1997-06-03,365,981.273,1667.16635163599,1864.1752016087,3060.11005,3825.99101
1997-06-04,365,981.816,1668.16610490843,1865.31403340216,3063.23565,3829.98481
1997-06-05,365,987.118,1677.31466320884,1875.57336424218,3096.28012,3871.42202
1997-06-06,365,996.132,1692.78725586195,1892.90896064085,3152.85148,3942.29674
1997-06-07,365,1000.799,1700.85212687523,1901.95569196788,3182.33068,3979.2757
1997-06-08,365,1004.377,1707.05012751344,1908.91209257852,3204.95586,4007.67381
1997-06-09,365,1006.369,1710.5275627177,1912.82286881682,3217.43354,4023.3696
1997-06-10,365,1007.268,1712.13645481765,1914.64350340017,3222.89678,4030.29164
1997-06-11,365,1008.725,1714.69862565992,1917.53041070017,3231.96043,4041.71719
1997-06-12,365,1016.412,1727.92253140549,1932.35219903091,3281.21971,4103.45997
1997-06-13,365,1020.749,1735.42612938175,1940.77146247323,3309.11918,4138.46935
1997-06-14,365,1021.172,1736.22526773318,1941.68698570648,3311.56344,4141.61929
1997-06-15,365,1021.538,1736.92745212456,1942.49412272153,3313.63825,4144.3074
1997-06-16,365,1021.877,1737.58374904944,1943.24996331871,3315.47826,4146.70202
1997-06-17,365,1011.135,1719.48531729744,1923.04355685054,3245.81572,4059.72039
1997-06-18,365,1013.982,1724.43216471751,1928.59988328157,3263.91149,4082.45446
1997-06-19,365,1021.739,1737.78212830348,1943.56429820633,3313.85793,4145.07008
1997-06-20,365,1021.741,1737.86545917061,1943.67955815803,3313.58695,4144.82525
1997-06-21,365,1023.31,1740.62199632514,1946.78462209422,3323.51,4157.33172
1997-06-22,365,1024.955,1743.50890181465,1950.03562795168,3333.94392,4170.47803
1997-06-23,365,1026.538,1746.28991067626,1953.16821383064,3343.98179,4183.12932
1997-06-24,365,1028.075,1748.99241385123,1956.2130346919,3353.73775,4195.42837
1997-06-25,365,1041.528,1772.04523638881,1982.03541647296,3441.5442,4305.43583
1997-06-26,365,1042.56,1773.88551197738,1984.11602402998,3448.07047,4313.69702
1997-06-27,365,1037.01,1764.5896409165,1973.75032587776,3411.30704,4267.84279
1997-06-28,365,1032.503,1757.05615094709,1965.35414818676,3381.56131,4230.75918
1997-06-29,365,1028.623,1750.58023599636,1958.13957068605,3356.02187,4198.93121
1997-06-30,365,1026.141,1746.46153430446,1953.55865269692,3339.49765,4178.36876
1997-07-01,365,1043.594,1776.33501485512,1987.0148624568,3453.07176,4320.64471
1997-07-02,365,1042.363,1774.32937228905,1984.79538252563,3444.64637,4310.20705
1997-07-03,365,1064.953,1812.95733864918,2028.04806022633,3594.01084,4497.28913
1997-07-04,365,1067.402,1817.22881359749,2032.85032863941,3610.30095,4517.77995
1997-07-05,365,1070.399,1822.44237286936,2038.70769488807,3630.36822,4543.00328
1997-07-06,365,1074.097,1828.86190558602,2045.91606712248,3655.29211,4574.31329
1997-07-07,365,1076.967,1833.85818698025,2051.53034088249,3674.59147,4598.57684
1997-07-08,365,1071.022,1823.88916303062,2040.41121941855,3633.98071,4547.90318
1997-07-09,365,1074.192,1829.40187545115,2046.60404816988,3655.29752,4574.69549
1997-07-10,365,1071.281,1824.55924388778,2041.21442665669,3635.29011,4549.78076
1997-07-11,365,1071.957,1825.79538275262,2042.62026045778,3639.57601,4555.24695
1997-07-12,365,1072.6,1826.97529218076,2043.96322458047,3643.63947,4560.43499
1997-07-13,365,1073.217,1828.11093057788,2045.2566816167,3647.52781,4565.40409
1997-07-14,365,1073.714,1829.04188481844,2046.32121226731,3650.58373,4569.33165
1997-07-15,365,1069.865,1822.61454335135,2039.16022693044,3624.27046,4536.52957
1997-07-16,365,1086.676,1851.42900132918,2071.43955628362,3738.19685,4679.31644
1997-07-17,365,1085.597,1849.68204473135,2069.50974547537,3730.46793,4669.75347
1997-07-18,365,1070.24,1823.7039163095,2040.48187437665,3625.02098,4537.92624
1997-07-19,365,1063.278,1812.00122913431,2027.42210483308,3577.85546,4479.03399
1997-07-20,365,1057.722,1802.68239021428,2017.02782464363,3540.42105,4432.31401
1997-07-21,365,1055.442,1798.90098472284,2012.82315240897,3524.92819,4413.03405
1997-07-22,365,1067.291,1819.26574745906,2035.64780988198,3604.10615,4512.32824
1997-07-23,365,1082.758,1845.80427234348,2065.38347971752,3708.60668,4643.34283
1997-07-24,365,1071.604,1826.96667119161,2044.34121915319,3632.23212,4547.88158
1997-07-25,365,1068.007,1820.95967532326,2037.64887659359,3607.68955,4517.28276
1997-07-26,365,1065.807,1817.31265110857,2033.59427862294,3592.58572,4498.48797
1997-07-27,365,1064.027,1814.37561199373,2030.33323900518,3580.32333,4483.24652
1997-07-28,365,1063.253,1813.14289096507,2028.97762802312,3574.8025,4476.43868
1997-07-29,365,1063.465,1813.587676103,2029.49828295082,3575.90854,4477.92477
1997-07-30,365,1072.707,1829.51673887281,2047.36030740309,3638.05067,4555.90359
1997-07-31,365,1072.73,1829.64008657017,2047.52157005256,3637.83802,4555.74067
1997-08-01,365,1061.748,1811.0844367985,2026.79217914975,3563.37808,4462.6529
1997-08-02,365,1055.219,1800.10474662656,2014.53820968682,3519.51368,4407.86591
1997-08-03,365,1050.158,1791.6151149744,2005.06889905004,3485.66593,4365.61312
1997-08-04,365,1047.196,1786.67618085034,1999.56918301356,3465.81543,4340.8718
1997-08-05,365,1045.692,1784.20342060262,1996.82643505561,3455.59771,4328.18137
1997-08-06,365,1055.116,1800.44883024758,2015.04406380526,3517.90544,4406.37977
1997-08-07,365,1066.872,1820.67858443358,2037.72314397548,3596.32575,4504.77258
1997-08-08,365,1059.849,1808.85429466798,2024.52327315846,3548.97946,4445.61675
1997-08-09,365,1058.168,1806.08174595618,2021.44542056412,3537.47427,4431.31577
1997-08-10,365,1056.722,1803.7071298797,2018.81244302414,3527.54854,4418.99077
1997-08-11,365,1056.125,1802.77347353807,2017.79093060156,3523.25344,4413.71307
